SOLD DATE,PROPERTY TYPE,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
March-1-2019,Condo/Co-op,Chicago,IL,60654.0,500000.0,3.0,2.0,,,2004.0,,,1028.0,41.8918775,-87.6344475
November-1-2021,Condo/Co-op,Chicago,IL,60610.0,280000.0,2.0,2.0,1200.0,,1962.0,,233.0,1661.0,41.9091114,-87.6282751
June-2-2022,Condo/Co-op,Chicago,IL,60647.0,415000.0,2.0,2.0,,,1920.0,,,387.0,41.9231391,-87.6948238
October-1-2021,Townhouse,Chicago,IL,60649.0,115000.0,2.0,1.0,1126.0,,1949.0,,102.0,,41.7677539,-87.5837442
November-6-2020,Multi-Family (2-4 Unit),Chicago,IL,60651.0,215000.0,5.0,2.0,,3125.0,1905.0,,,,41.9007968,-87.7198935
June-30-2022,Single Family Residential,Chicago,IL,60646.0,487500.0,3.0,2.5,1798.0,5776.0,1961.0,,271.0,,41.9963733,-87.7541748
December-26-2018,Multi-Family (2-4 Unit),Chicago,IL,60621.0,179000.0,5.0,2.0,,,1906.0,,,,41.762397,-87.651273
May-20-2022,Condo/Co-op,Chicago,IL,60610.0,362000.0,2.0,2.0,1050.0,,1991.0,,345.0,705.0,41.9016475,-87.6318546
April-4-2023,Condo/Co-op,Chicago,IL,60661.0,385000.0,2.0,1.5,1650.0,,,,233.0,425.0,41.8777753,-87.6443549
March-28-2022,Single Family Residential,Chicago,IL,60620.0,155000.0,4.0,2.0,988.0,,1964.0,,157.0,,41.7257524,-87.6357753
May-3-2023,Condo/Co-op,Chicago,IL,60640.0,632500.0,3.0,2.0,1546.0,,2020.0,,409.0,422.0,41.9707668,-87.6566111
July-29-2022,Single Family Residential,Chicago,IL,60659.0,420000.0,4.0,2.5,1400.0,,1956.0,,300.0,,41.9965412,-87.725477
September-10-2021,Single Family Residential,Chicago,IL,60630.0,565000.0,3.0,2.5,2100.0,6525.0,1943.0,,269.0,,41.980847,-87.7497876
March-3-2022,Condo/Co-op,Chicago,IL,60622.0,532000.0,3.0,2.5,,,2005.0,,,250.0,41.900536,-87.688486
February-28-2022,Single Family Residential,Chicago,IL,60643.0,90000.0,3.0,1.0,1069.0,,1966.0,,84.0,,41.6938519,-87.6504271
May-24-2022,Condo/Co-op,Chicago,IL,60657.0,589000.0,2.0,2.0,,,2001.0,,,141.0,41.937585,-87.6555179
August-9-2019,Single Family Residential,Chicago,IL,60646.0,498000.0,3.0,2.0,,4375.0,,,,,41.9937403,-87.7562476
May-23-2023,Multi-Family (2-4 Unit),Chicago,IL,60620.0,460000.0,12.0,3.0,,3750.0,1915.0,,,,41.753192,-87.665074
May-18-2020,Single Family Residential,Chicago,IL,60619.0,149000.0,3.0,1.5,3750.0,3746.0,1961.0,,40.0,,41.7316875,-87.6166572
December-27-2019,Multi-Family (2-4 Unit),Chicago,IL,60623.0,105000.0,5.0,2.0,,,1909.0,,,,41.8541053,-87.7313061
September-3-2020,Condo/Co-op,Chicago,IL,60614.0,570000.0,2.0,2.5,,,,,,525.0,41.912304,-87.640085
May-25-2022,Multi-Family (2-4 Unit),Chicago,IL,60647.0,930000.0,9.0,5.0,,,1885.0,,,,41.9129949,-87.7037595
April-7-2023,Single Family Residential,Chicago,IL,60619.0,270000.0,4.0,2.0,1300.0,4334.0,1943.0,,208.0,,41.7255407,-87.6219834
December-6-2019,Condo/Co-op,Chicago,IL,60640.0,92500.0,1.0,1.0,700.0,,1953.0,,132.0,532.0,41.9731805,-87.6514039
May-28-2019,Condo/Co-op,Chicago,IL,60657.0,501750.0,2.0,2.0,0.0,,2002.0,,,160.0,41.9411847,-87.6634704
June-28-2023,Condo/Co-op,Chicago,IL,60656.0,173000.0,2.0,1.0,950.0,10000.0,1960.0,,182.0,200.0,41.9775815,-87.840759
July-28-2020,Single Family Residential,Chicago,IL,60629.0,309900.0,4.0,3.0,2000.0,3750.0,1927.0,,155.0,,41.7885134,-87.7212364
March-13-2023,Single Family Residential,Chicago,IL,60636.0,77000.0,3.0,1.5,1200.0,2975.0,1910.0,,64.0,,41.7854642,-87.673795
March-5-2019,Multi-Family (2-4 Unit),Chicago,IL,60644.0,200000.0,8.0,3.0,,6534.0,1904.0,,,,41.8820719,-87.7474367
February-16-2022,Single Family Residential,Chicago,IL,60634.0,644000.0,4.0,3.5,3300.0,3598.0,2021.0,,195.0,,41.9433967,-87.8333742
October-17-2019,Single Family Residential,Chicago,IL,60634.0,220000.0,3.0,1.5,1800.0,4024.0,1920.0,,122.0,,41.9504833,-87.7810026
April-16-2021,Condo/Co-op,Chicago,IL,60618.0,264900.0,2.0,2.0,,,,,,251.0,41.9609719,-87.7035631
February-28-2023,Condo/Co-op,Chicago,IL,60610.0,238000.0,1.0,1.0,850.0,,1988.0,,280.0,763.0,41.8990064,-87.6293532
December-14-2021,Multi-Family (2-4 Unit),Chicago,IL,60620.0,205900.0,4.0,4.0,,,1923.0,,,,41.7499172,-87.6606754
April-19-2023,Multi-Family (2-4 Unit),Chicago,IL,60608.0,550000.0,7.0,3.0,,,,,,,41.8462093,-87.6548954
September-20-2019,Single Family Residential,Chicago,IL,60655.0,253500.0,4.0,2.0,1284.0,5061.0,1946.0,,197.0,,41.698595,-87.7013851
May-7-2021,Multi-Family (2-4 Unit),Chicago,IL,60657.0,645000.0,4.0,3.0,,3049.0,1891.0,,,,41.9443745,-87.6732097
August-20-2021,Condo/Co-op,Chicago,IL,60601.0,285000.0,1.0,1.0,835.0,,2005.0,,341.0,651.0,41.8867103,-87.6209577
December-17-2020,Condo/Co-op,Chicago,IL,60657.0,405000.0,3.0,3.0,1800.0,,1926.0,,225.0,1340.0,41.9424731,-87.6403411
January-14-2022,Single Family Residential,Chicago,IL,60630.0,536000.0,3.0,2.0,2257.0,,1905.0,,237.0,,41.9797272,-87.7541879
April-7-2022,Single Family Residential,Chicago,IL,60620.0,279000.0,4.0,2.0,2500.0,4390.0,,,112.0,,41.7335454,-87.6596318
April-1-2019,Condo/Co-op,Chicago,IL,60613.0,305000.0,2.0,1.0,1000.0,,1912.0,,305.0,300.0,41.951329,-87.6530968
May-18-2021,Single Family Residential,Chicago,IL,60629.0,220000.0,3.0,2.0,3780.0,3781.0,1921.0,,58.0,,41.7853536,-87.7283452
November-13-2020,Multi-Family (2-4 Unit),Chicago,IL,60617.0,165000.0,5.0,3.0,2900.0,6250.0,1906.0,,57.0,,41.716822,-87.5331912
September-6-2019,Condo/Co-op,Chicago,IL,60645.0,71600.0,1.0,1.0,864.0,,1952.0,,83.0,275.0,42.013028,-87.6892175
May-26-2020,Condo/Co-op,Chicago,IL,60625.0,178000.0,2.0,1.0,1000.0,,2001.0,,178.0,260.0,41.9667869,-87.7203584
May-14-2019,Condo/Co-op,Chicago,IL,60640.0,300000.0,2.0,1.0,,,1928.0,,,449.0,41.975055,-87.666523
May-20-2021,Condo/Co-op,Chicago,IL,60607.0,440000.0,2.0,2.0,1150.0,,2003.0,,383.0,434.0,41.8814368,-87.6523831
August-13-2021,Single Family Residential,Chicago,IL,60618.0,1090000.0,5.0,4.0,3200.0,3723.0,1915.0,,341.0,,41.9460603,-87.6855307
April-17-2020,Condo/Co-op,Chicago,IL,60613.0,295000.0,2.0,2.0,1800.0,,1927.0,,164.0,879.0,41.9607737,-87.6478819
March-22-2023,Condo/Co-op,Chicago,IL,60612.0,236000.0,1.0,1.0,,,2022.0,,,160.0,41.8787879,-87.6850248
January-5-2021,Single Family Residential,Chicago,IL,60634.0,365000.0,4.0,2.0,,4125.0,1926.0,,,,41.9486676,-87.7802148
October-21-2019,Single Family Residential,Chicago,IL,60653.0,511000.0,3.0,3.5,,7849.0,2018.0,,,100.0,41.8177464,-87.6134966
September-1-2022,Condo/Co-op,Chicago,IL,60622.0,910000.0,4.0,2.5,,,2022.0,,,225.0,41.8969623,-87.6687706
June-23-2020,Single Family Residential,Chicago,IL,60644.0,52500.0,3.0,2.0,729.0,5499.0,1910.0,,72.0,,41.8814758,-87.7611051
May-9-2022,Condo/Co-op,Chicago,IL,60622.0,808500.0,3.0,2.5,,,2006.0,,,150.0,41.9092433,-87.6715789
February-11-2021,Condo/Co-op,Chicago,IL,60657.0,370000.0,2.0,1.0,1500.0,,1911.0,,247.0,342.0,41.9449097,-87.6475514
April-23-2021,Condo/Co-op,Chicago,IL,60642.0,317500.0,2.0,1.0,,,,,,105.0,41.8995747,-87.6633454
October-14-2022,Condo/Co-op,Chicago,IL,60657.0,625000.0,2.0,2.0,,,2006.0,,,233.0,41.9371904,-87.654374
April-1-2022,Condo/Co-op,Chicago,IL,60615.0,252000.0,2.0,2.0,1150.0,,1962.0,,219.0,1047.0,41.8064982,-87.5866451
July-27-2022,Condo/Co-op,Chicago,IL,60652.0,24000.0,1.0,1.0,,,1968.0,,,322.0,41.7545153,-87.7303056
May-28-2020,Single Family Residential,Chicago,IL,60651.0,268200.0,5.0,3.0,3620.0,4051.0,1925.0,,74.0,,41.9003765,-87.7706583
May-18-2020,Condo/Co-op,Chicago,IL,60660.0,320000.0,2.0,2.0,,,2005.0,,,259.0,41.9872297,-87.6604442
May-27-2020,Condo/Co-op,Chicago,IL,60640.0,420000.0,2.0,2.0,,,,,,545.0,41.975087,-87.6561278
March-16-2020,Multi-Family (2-4 Unit),Chicago,IL,60618.0,500000.0,8.0,4.0,,3125.0,1905.0,,,,41.9348035,-87.7117917
December-3-2021,Single Family Residential,Chicago,IL,60633.0,171000.0,4.0,3.0,1950.0,3123.0,1917.0,,88.0,,41.6587552,-87.5486054
May-12-2021,Condo/Co-op,Chicago,IL,60611.0,510000.0,2.0,2.0,1250.0,,1982.0,,408.0,951.0,41.8951123,-87.6266389
April-21-2021,Condo/Co-op,Chicago,IL,60601.0,945000.0,2.0,2.5,1902.0,,2007.0,,497.0,1126.0,41.8847771,-87.6190621
November-4-2019,Single Family Residential,Chicago,IL,60646.0,730000.0,5.0,5.5,3090.0,6438.0,2006.0,,236.0,,42.0036319,-87.7635909
August-17-2020,Single Family Residential,Chicago,IL,60629.0,194900.0,5.0,2.0,1432.0,3654.0,1923.0,,136.0,,41.7653421,-87.6890975
October-20-2020,Condo/Co-op,Chicago,IL,60657.0,290000.0,1.0,1.0,900.0,,1969.0,,322.0,658.0,41.9333146,-87.6372232
August-1-2022,Single Family Residential,Chicago,IL,60620.0,120000.0,5.0,1.5,1050.0,3123.0,1908.0,,114.0,,41.7426676,-87.6448653
June-23-2021,Single Family Residential,Chicago,IL,60634.0,375000.0,5.0,2.0,2500.0,3720.0,1926.0,,150.0,,41.9319759,-87.7830399
July-20-2023,Townhouse,Chicago,IL,60657.0,695000.0,3.0,3.0,,,1999.0,,,300.0,41.9400041,-87.6632394
June-22-2021,Condo/Co-op,Chicago,IL,60610.0,130000.0,1.0,1.0,,,1967.0,,,592.0,41.9096241,-87.6312381
May-1-2019,Condo/Co-op,Chicago,IL,60657.0,295000.0,2.0,2.0,1250.0,,1962.0,,236.0,922.0,41.9480112,-87.6438535
March-2-2020,Condo/Co-op,Chicago,IL,60611.0,217500.0,1.0,1.0,,,1972.0,,,593.0,41.9001147,-87.6250997
October-7-2022,Single Family Residential,Chicago,IL,60619.0,203500.0,3.0,3.0,,3123.0,1963.0,,,,41.7332276,-87.6238248
November-19-2021,Multi-Family (2-4 Unit),Chicago,IL,60645.0,655000.0,8.0,4.0,,,1926.0,,,,42.0030408,-87.6909217
April-15-2022,Condo/Co-op,Chicago,IL,60610.0,215000.0,1.0,1.0,800.0,,1962.0,,269.0,661.0,41.9074567,-87.6325602
September-27-2019,Condo/Co-op,Chicago,IL,60642.0,549900.0,3.0,2.0,,,1996.0,,,168.0,41.8980412,-87.657301
October-2-2019,Condo/Co-op,Chicago,IL,60632.0,60000.0,2.0,1.0,850.0,,1970.0,,71.0,290.0,41.796942,-87.7040059
March-3-2023,Condo/Co-op,Chicago,IL,60614.0,295000.0,2.0,2.0,,,1963.0,,,938.0,41.925868,-87.6393368
July-22-2022,Single Family Residential,Chicago,IL,60639.0,370000.0,3.0,2.5,1815.0,2413.0,2010.0,,204.0,,41.9152532,-87.7474533
May-5-2021,Condo/Co-op,Chicago,IL,60613.0,320000.0,2.0,2.0,1336.0,,1920.0,,240.0,380.0,41.958899,-87.6565601
April-30-2021,Multi-Family (2-4 Unit),Chicago,IL,60649.0,405000.0,9.0,3.0,,3720.0,1924.0,,,,41.7523462,-87.5653275
August-20-2021,Multi-Family (2-4 Unit),Chicago,IL,60634.0,389000.0,4.0,2.0,,6969.0,1927.0,,,,41.9505065,-87.8105449
September-9-2019,Single Family Residential,Chicago,IL,60634.0,350000.0,4.0,3.0,2227.0,5296.0,1989.0,,157.0,,41.9493258,-87.7953344
April-30-2021,Townhouse,Chicago,IL,60622.0,515000.0,2.0,2.5,,,2007.0,,,267.0,41.8978835,-87.6779376
October-1-2019,Condo/Co-op,Chicago,IL,60605.0,263000.0,1.0,1.0,1000.0,,1910.0,,263.0,390.0,41.8740573,-87.629397
September-29-2023,Condo/Co-op,Chicago,IL,60615.0,205000.0,3.0,2.0,1200.0,,,,171.0,310.0,41.8049945,-87.6142025
March-9-2022,Condo/Co-op,Chicago,IL,60625.0,381000.0,3.0,2.0,1800.0,,,,212.0,280.0,41.9691201,-87.7053398
March-3-2022,Condo/Co-op,Chicago,IL,60640.0,257500.0,2.0,2.0,1168.0,,1972.0,,220.0,652.0,41.9813625,-87.6544907
October-20-2021,Single Family Residential,Chicago,IL,60634.0,570000.0,4.0,2.5,3200.0,3811.0,1927.0,,178.0,,41.949225,-87.8037373
February-22-2019,Condo/Co-op,Chicago,IL,60654.0,349900.0,1.0,1.0,,,,,,477.0,41.8936715,-87.6387652
July-27-2021,Condo/Co-op,Chicago,IL,60657.0,587250.0,3.0,2.0,1900.0,,2001.0,,309.0,325.0,41.9463666,-87.6497297
March-22-2021,Multi-Family (2-4 Unit),Chicago,IL,60619.0,280000.0,4.0,2.0,,3484.0,1925.0,,,,41.7489084,-87.6103363
April-12-2021,Single Family Residential,Chicago,IL,60634.0,349000.0,3.0,2.0,1000.0,3746.0,1956.0,,349.0,,41.9403468,-87.8175741
September-22-2023,Condo/Co-op,Chicago,IL,60639.0,125000.0,1.0,1.0,800.0,,1926.0,,156.0,167.0,41.9274478,-87.7559288
December-30-2021,Condo/Co-op,Chicago,IL,60645.0,135000.0,2.0,2.0,1400.0,,1969.0,,96.0,763.0,42.009044,-87.7084466
November-30-2018,Condo/Co-op,Chicago,IL,60630.0,190000.0,2.0,2.0,1200.0,,1975.0,,158.0,237.0,41.974273,-87.7506271
February-21-2019,Multi-Family (2-4 Unit),Chicago,IL,60647.0,170000.0,4.0,2.0,,4425.0,1896.0,,,,41.916937,-87.7173578
May-17-2021,Single Family Residential,Chicago,IL,60643.0,770000.0,5.0,3.5,3629.0,11900.0,1927.0,,212.0,,41.708738,-87.675719
November-21-2018,Multi-Family (2-4 Unit),Chicago,IL,60623.0,192000.0,6.0,3.0,,6534.0,1885.0,,,,41.8477211,-87.7271101
May-23-2022,Condo/Co-op,Chicago,IL,60610.0,220000.0,1.0,1.0,820.0,,1969.0,,268.0,420.0,41.906948,-87.6304758
March-27-2020,Single Family Residential,Chicago,IL,60637.0,38000.0,3.0,1.5,3125.0,3123.0,1885.0,,12.0,,41.7737272,-87.6218652
March-24-2022,Multi-Family (2-4 Unit),Chicago,IL,60636.0,335000.0,9.0,3.0,,,1905.0,,,,41.7837424,-87.6573645
November-10-2023,Condo/Co-op,Chicago,IL,60639.0,55000.0,2.0,1.0,800.0,,1906.0,,69.0,,41.9275643,-87.7774286
January-7-2019,Condo/Co-op,Chicago,IL,60610.0,345000.0,2.0,2.0,1100.0,,1991.0,,314.0,624.0,41.9016475,-87.6318546
January-31-2022,Multi-Family (2-4 Unit),Chicago,IL,60625.0,550000.0,7.0,3.0,,,1918.0,,,,41.9691401,-87.7258146
March-15-2023,Condo/Co-op,Chicago,IL,60618.0,197000.0,2.0,1.0,,,,,,301.0,41.9544833,-87.7065122
March-22-2019,Multi-Family (5+ Unit),Chicago,IL,60649.0,100000.0,8.0,6.0,,4791.0,1919.0,,,,41.7535369,-87.5574289
March-22-2021,Townhouse,Chicago,IL,60614.0,829000.0,4.0,3.5,,,1995.0,,,,41.918154,-87.640365
June-21-2022,Condo/Co-op,Chicago,IL,60654.0,407000.0,2.0,2.0,1250.0,,2003.0,,326.0,985.0,41.892145,-87.629294
September-22-2020,Single Family Residential,Chicago,IL,60638.0,255000.0,3.0,2.0,984.0,3750.0,1951.0,,259.0,,41.7915612,-87.7778404
February-5-2021,Condo/Co-op,Chicago,IL,60613.0,275000.0,2.0,2.0,1075.0,,1968.0,,256.0,990.0,41.9542371,-87.648457
February-23-2022,Single Family Residential,Chicago,IL,60656.0,318000.0,3.0,2.0,1000.0,3598.0,1955.0,,318.0,,41.9800364,-87.7973641
May-20-2021,Multi-Family (2-4 Unit),Chicago,IL,60647.0,670000.0,8.0,3.0,,,1911.0,,,,41.9266004,-87.7240919
December-23-2021,Single Family Residential,Chicago,IL,60617.0,200000.0,3.0,2.0,1278.0,4164.0,,,156.0,,41.7447151,-87.5633966
July-29-2020,Vacant Land,Chicago,IL,60615.0,112500.0,,,,2178.0,,,,,41.8074039,-87.6147327
February-18-2022,Single Family Residential,Chicago,IL,60618.0,1875000.0,6.0,5.0,,3720.0,2022.0,,,,41.950112,-87.6873311
October-11-2019,Condo/Co-op,Chicago,IL,60632.0,65000.0,1.0,1.0,700.0,,1970.0,,93.0,160.0,41.808137,-87.720843
May-6-2022,Condo/Co-op,Chicago,IL,60610.0,385000.0,2.0,2.0,,,1962.0,,,947.0,41.9083243,-87.6324246
August-11-2023,Single Family Residential,Chicago,IL,60628.0,115000.0,7.0,2.0,2128.0,4400.0,1925.0,,54.0,,41.7058803,-87.6364715
August-22-2019,Single Family Residential,Chicago,IL,60646.0,320000.0,3.0,2.5,1461.0,4861.0,1952.0,,219.0,,41.9926046,-87.7872421
February-12-2020,Condo/Co-op,Chicago,IL,60610.0,254000.0,1.0,1.0,850.0,,1971.0,,299.0,644.0,41.9099365,-87.6319632
September-19-2022,Condo/Co-op,Chicago,IL,60601.0,1095000.0,3.0,3.0,,,2007.0,,,1126.0,41.8870911,-87.6163031
May-26-2022,Single Family Residential,Chicago,IL,60636.0,185000.0,5.0,1.5,978.0,,1974.0,,189.0,,41.7802794,-87.6591076
February-17-2023,Condo/Co-op,Chicago,IL,60613.0,596000.0,2.0,2.0,1500.0,,2005.0,,397.0,391.0,41.9538231,-87.6744516
November-30-2022,Condo/Co-op,Chicago,IL,60647.0,415000.0,3.0,2.0,,,2007.0,,,457.0,41.924443,-87.7055764
November-20-2018,Multi-Family (2-4 Unit),Chicago,IL,60609.0,114873.0,4.0,2.0,,3049.0,1900.0,,,,41.8008199,-87.6481511
June-14-2021,Single Family Residential,Chicago,IL,60646.0,475000.0,3.0,1.5,1217.0,,1946.0,,390.0,,42.0103117,-87.7772711
June-21-2021,Condo/Co-op,Chicago,IL,60659.0,267500.0,2.0,2.0,1240.0,,2004.0,,216.0,344.0,41.9886067,-87.7049608
June-24-2022,Condo/Co-op,Chicago,IL,60642.0,473500.0,3.0,2.0,1498.0,,2011.0,,316.0,215.0,41.8997163,-87.65717
April-29-2020,Condo/Co-op,Chicago,IL,60613.0,473000.0,3.0,2.0,1900.0,,1916.0,,249.0,460.0,41.9559416,-87.6467492
March-31-2022,Multi-Family (2-4 Unit),Chicago,IL,60644.0,269000.0,6.0,2.0,,,1928.0,,,,41.8786717,-87.7580905
April-1-2022,Single Family Residential,Chicago,IL,60651.0,270000.0,4.0,2.5,1500.0,,,,180.0,,41.8954115,-87.7638073
September-28-2020,Single Family Residential,Chicago,IL,60657.0,990000.0,4.0,4.5,3200.0,3123.0,1886.0,,309.0,,41.9386702,-87.6649679
March-1-2022,Condo/Co-op,Chicago,IL,60654.0,249000.0,1.0,1.0,,,2001.0,,,422.0,41.8888753,-87.6318248
May-5-2021,Multi-Family (2-4 Unit),Chicago,IL,60623.0,335000.0,5.0,2.0,,3375.0,1906.0,,,,41.8519767,-87.7165593
January-21-2021,Condo/Co-op,Chicago,IL,60622.0,405500.0,3.0,2.5,1600.0,,,,253.0,266.0,41.9058095,-87.6897956
January-28-2019,Multi-Family (2-4 Unit),Chicago,IL,60623.0,280000.0,9.0,6.0,,3125.0,2006.0,,,,41.8646629,-87.7320566
May-2-2019,Condo/Co-op,Chicago,IL,60611.0,316000.0,1.0,1.0,840.0,,1977.0,,376.0,690.0,41.8897222,-87.6257722
July-19-2019,Condo/Co-op,Chicago,IL,60653.0,200900.0,2.0,2.0,1000.0,,2004.0,,201.0,239.0,41.819849,-87.622596
July-7-2021,Condo/Co-op,Chicago,IL,60601.0,1639427.0,2.0,2.5,2200.0,,,,745.0,1017.0,41.8874508,-87.6174598
September-28-2021,Condo/Co-op,Chicago,IL,60640.0,350000.0,2.0,1.5,,,1911.0,,,225.0,41.9638973,-87.6655409
July-7-2023,Single Family Residential,Chicago,IL,60629.0,270000.0,5.0,2.0,3125.0,3123.0,1962.0,,86.0,,41.7830839,-87.7163282
March-31-2022,Condo/Co-op,Chicago,IL,60611.0,380000.0,2.0,2.0,1200.0,,1991.0,,317.0,906.0,41.890229,-87.617849
July-2-2019,Single Family Residential,Chicago,IL,60629.0,239900.0,5.0,3.0,2500.0,3624.0,1921.0,,96.0,,41.7666204,-87.6854441
March-8-2019,Condo/Co-op,Chicago,IL,60610.0,430000.0,2.0,2.0,1315.0,,2006.0,,327.0,721.0,41.897783,-87.6352167
May-9-2022,Condo/Co-op,Chicago,IL,60625.0,199900.0,2.0,2.0,,,1921.0,,,249.0,41.9650187,-87.7197461
December-30-2020,Condo/Co-op,Chicago,IL,60616.0,295000.0,2.0,1.0,1200.0,,2014.0,,246.0,307.0,41.8347713,-87.6350986
December-16-2022,Condo/Co-op,Chicago,IL,60613.0,490000.0,3.0,2.0,,,2006.0,,,219.0,41.953871,-87.677327
April-7-2021,Single Family Residential,Chicago,IL,60643.0,450000.0,4.0,3.0,3900.0,4961.0,1924.0,,115.0,,41.7162954,-87.6743519
June-7-2021,Condo/Co-op,Chicago,IL,60614.0,492500.0,2.0,2.0,1355.0,,2007.0,,363.0,395.0,41.9256763,-87.6482098
October-11-2023,Condo/Co-op,Chicago,IL,60614.0,675000.0,2.0,2.0,,,2019.0,,,133.0,41.9274315,-87.6630643
November-8-2019,Condo/Co-op,Chicago,IL,60607.0,477500.0,2.0,2.0,,,2007.0,,,487.0,41.8815223,-87.6500526
July-29-2021,Condo/Co-op,Chicago,IL,60614.0,655000.0,2.0,2.0,1500.0,,1995.0,,437.0,375.0,41.9183338,-87.6564048
July-28-2023,Condo/Co-op,Chicago,IL,60622.0,725000.0,3.0,2.5,,,2019.0,,,192.0,41.8984913,-87.6768333
July-9-2019,Single Family Residential,Chicago,IL,60628.0,26000.0,3.0,2.0,1300.0,5026.0,1890.0,,20.0,,41.6933079,-87.6241336
December-2-2020,Multi-Family (2-4 Unit),Chicago,IL,60625.0,445000.0,7.0,3.0,,3920.0,1918.0,,,,41.9717532,-87.7063725
July-24-2020,Condo/Co-op,Chicago,IL,60653.0,181500.0,3.0,2.0,1170.0,,,,155.0,272.0,41.8151474,-87.6124631
March-30-2020,Condo/Co-op,Chicago,IL,60614.0,367000.0,2.0,1.5,,,,,,250.0,41.9197483,-87.6557132
June-5-2020,Condo/Co-op,Chicago,IL,60654.0,400000.0,2.0,1.5,1100.0,,2002.0,,364.0,798.0,41.8957828,-87.6377203
May-5-2023,Single Family Residential,Chicago,IL,60643.0,85000.0,3.0,2.0,,3136.0,1931.0,,,,41.698798,-87.6566233
January-7-2022,Condo/Co-op,Chicago,IL,60657.0,315000.0,2.0,1.0,,,1925.0,,,256.0,41.945167,-87.6575321
May-7-2021,Multi-Family (2-4 Unit),Chicago,IL,60651.0,461800.0,6.0,3.0,,5000.0,2021.0,,,,41.9033002,-87.7568131
May-29-2020,Condo/Co-op,Chicago,IL,60657.0,234000.0,1.0,1.0,700.0,,,,334.0,188.0,41.9459742,-87.6635729
November-19-2021,Single Family Residential,Chicago,IL,60637.0,749000.0,4.0,3.5,3000.0,11129.0,2021.0,,250.0,,41.7814527,-87.5991567
October-6-2023,Single Family Residential,Chicago,IL,60652.0,180000.0,3.0,2.0,1286.0,,1961.0,,140.0,,41.7440454,-87.7044126
April-27-2021,Condo/Co-op,Chicago,IL,60610.0,792500.0,4.0,3.0,2400.0,,1964.0,,330.0,1745.0,41.907619,-87.6281771
July-31-2019,Condo/Co-op,Chicago,IL,60657.0,163000.0,1.0,1.0,,,1954.0,,,452.0,41.9347042,-87.6390529
